,Title,Summary,Link,Time,Source,Address,State,Zip
4,Orange County man back behind bars after peeking inside teen's bedroom,"An Orange County man previously accused of peeking inside of a teenager's bedroom window is now back behind bars on new voyeurism charges.

Deputies arrested Thai Williams, 18, Friday after investigators said a neighbor's home surveillance camera caught him on video looking into a girl's bedroom while using a flashlight last Thursday and Friday morning.

The latest alleged victim did not want to be identified, but she told News 6 that Williams is her former classmate from school and his allegations are concerning.

""Not knowing exactly when or what time he was looking at me, if it was while I was getting ready, or while I didn’t have any clothes on,"" the victim said. ""I wouldn’t wish this upon anyone.""

The alleged victim told us she's still trying to recover from the scare.

""I feel uncomfortable now, myself to get ready in my room, to get ready anywhere, and I’m just very cautious about what I do now,"" she said. ""I never thought this would happen to me now, but it did, and it can happen to anyone.""

Williams faced a jail judge over the weekend in Orange County. She granted him no bond and revoked his bond based on his previous voyeurism charges earlier this year.

Court records show Williams was arrested back in February on similar allegations.

Deputies said video cameras caught Williams on at least six different occasions, from August of 2018 to February 2019, peeking inside of a different former classmate’s bedroom window in a separate Orange County neighborhood. In one case, a neighbor told deputies he saw Williams using a ladder to peek inside of the girl's bedroom, records show.

The latest alleged victim said she hopes Williams remains in jail on no bond.

""All around I hope that he gets the help that he needs because I don’t want any of this to happen again to any other girl.""

Williams remains locked up in the Orange County Jail on a new charge of voyeurism among other charges.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/orange-county-man-back-behind-bars-after-peeking-inside-teens-bedroom,2019-05-13T03:45:46Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
5,Silver Alert issued for missing man with dementia,,https://www.wfla.com/video/silver-alert-issued-for-missing-man-with-dementia_20190513031207/1998438291,2019-05-13T03:17:05Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
6,Man arrested after deadly machete attack on Appalachian Trail hikers,"A Massachusetts man faces a federal murder charge after he allegedly attacked two hikers on the Appalachian Trail, leaving one of them dead, according to the U.S. Attorney's Office for the Western District of Virginia.James L. Jordan, 30, was arrested Saturday morning and charged with one count of murder and one count of assault with the intent to murder, the U.S. Attorney's Office said in a statement. Charges will be formally filed in U.S. District Court in Abingdon on Monday morning, when Jordan is expected to make his first court appearance.The Wythe County Sheriff's Office previously said in a statement they were investigating reports that a man with a machete injured two hikers — one man and one woman — but did not say that one of them had died. Neither victim has been identified.U.S. Attorney Thomas Cullen applauded local law enforcement agencies for rescuing the hikers following the alleged attack and taking Jordan into custody.""Thanks to their efforts, the suspect was safely apprehended and a seriously wounded victim received critical medical care,"" Cullen said in the news release. ""We will continue to work with our state and local partners to bring the perpetrator of this senseless and brutal attack to justice.""The investigation is ongoing, the statement said.CNN was unable to determine Sunday whether Jordan was represented by an attorney.Wythe County Sheriff Keith Dunagan told WSLS-TV authorities were able to find the injured man using GPS technology after he sent an emergency notification on his phone.""The phone company notified us and that's when we went up there and found the suspect and the victim,"" the sheriff said. ""We had our whole (tactical) team out there, so (the suspect) wisely just surrendered himself.""The injured woman was found only after she had walked six miles while bleeding, Dunagan told WSLS-TV, and found other hikers and asked for help.

A Massachusetts man faces a federal murder charge after he allegedly attacked two hikers on the Appalachian Trail, leaving one of them dead, according to the U.S. Attorney's Office for the Western District of Virginia.

James L. Jordan, 30, was arrested Saturday morning and charged with one count of murder and one count of assault with the intent to murder, the U.S. Attorney's Office said in a statement. Charges will be formally filed in U.S. District Court in Abingdon on Monday morning, when Jordan is expected to make his first court appearance.

Advertisement

The Wythe County Sheriff's Office previously said in a statement they were investigating reports that a man with a machete injured two hikers — one man and one woman — but did not say that one of them had died. Neither victim has been identified.

U.S. Attorney Thomas Cullen applauded local law enforcement agencies for rescuing the hikers following the alleged attack and taking Jordan into custody.

""Thanks to their efforts, the suspect was safely apprehended and a seriously wounded victim received critical medical care,"" Cullen said in the news release. ""We will continue to work with our state and local partners to bring the perpetrator of this senseless and brutal attack to justice.""

The investigation is ongoing, the statement said.

CNN was unable to determine Sunday whether Jordan was represented by an attorney.

Wythe County Sheriff Keith Dunagan told WSLS-TV authorities were able to find the injured man using GPS technology after he sent an emergency notification on his phone.

""The phone company notified us and that's when we went up there and found the suspect and the victim,"" the sheriff said. ""We had our whole (tactical) team out there, so (the suspect) wisely just surrendered himself.""

The injured woman was found only after she had walked six miles while bleeding, Dunagan told WSLS-TV, and found other hikers and asked for help.

AlertMe",https://www.wpbf.com/article/man-arrested-after-deadly-machete-attack-on-appalachian-trail-hikers/27447432,2019-05-13T03:12:00Z,WPBF-TV,"Northcorp Business Park, Palm Beach Gardens, FL 33410, USA",FL,33410
7,Man accused of peering into window at teen in Orange County faces judge,"Man accused of peering into window at teen in Orange County faces judge

A man is held on no bond after being accused of peeping into someone's window again.A teenage girl told WESH 2 News she was relieved to learn a man who's accused of peeping into her window is being held on no bond.According to the arrest affidavit, Thai Williams, 18, was caught on a surveillance camera peering into the window of a home on Lark's Nest court early Friday morning.The 17-year-old girl who lives in the home said she saw Williams peering into her bedroom with a flashlight.Investigators with the Orange County Sheriff's Office said a surveillance camera showed Williams take a chair from the neighbors patio and use it to stand on as he peered in the window.Williams was arrested after the alleged victim alerted an adult in her house. That adult went outside, found Williams and stopped him until deputies arrived, the report said.At Williams initial appearance before a judge it was noted that he was already on bond on charges of voyeurism, stalking and burglary dating back to several different incidents in February.The judge said because of Williams criminal record, for now, she would order him held on no bond.

A man is held on no bond after being accused of peeping into someone's window again.

A teenage girl told WESH 2 News she was relieved to learn a man who's accused of peeping into her window is being held on no bond.

Advertisement

According to the arrest affidavit, Thai Williams, 18, was caught on a surveillance camera peering into the window of a home on Lark's Nest court early Friday morning.

The 17-year-old girl who lives in the home said she saw Williams peering into her bedroom with a flashlight.

Investigators with the Orange County Sheriff's Office said a surveillance camera showed Williams take a chair from the neighbors patio and use it to stand on as he peered in the window.

Williams was arrested after the alleged victim alerted an adult in her house. That adult went outside, found Williams and stopped him until deputies arrived, the report said.

At Williams initial appearance before a judge it was noted that he was already on bond on charges of voyeurism, stalking and burglary dating back to several different incidents in February.

The judge said because of Williams criminal record, for now, she would order him held on no bond.

AlertMe",https://www.wesh.com/article/man-accused-of-peering-into-window-at-teen-in-orange-county-faces-judge/27447761,2019-05-13T02:17:00Z,WESH-TV,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
8,1 dead in shootout near Trump hotel,"(CNN) - A man died and a woman was injured in a shootout near a Trump resort in the Miami area Sunday.

According to witnesses, the shooting began when two groups of rival rappers started arguing outside the Trump International Beach Resort in Sunny Isles Beach and it led to gunfire.

Someone who knows the man who was killed says he was not involved in the shootout but got caught in the crossfire.

A 19-year-old woman was taken to a hospital in unknown condition.

According to witnesses, she is rapper NBA YoungBoy's girlfriend.

Police are searching for three suspects who had guns, including handguns and an AK-47s.",http://www.wfla.com/news/florida/1-dead-in-shootout-near-trump-hotel/1998310256,2019-05-13T01:22:52Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
9,Silver Alert issued for missing Lakeland man with dementia,"Copyright 2019 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. John Patrick Gordon. (Photo: Lakeland Police Department)

LAKELAND, Fla. (WFLA) - The Lakeland Police Department has issued a Silver Alert for a missing man with dementia.

John Patrick Gordon, 79, was last seen leaving the parking garage at Lakeland Medical Center at about 10:30 a.m. Sunday, according to police.

Gordon left in a silver 2008 Toyota Tacoma pickup truck bearing Florida Tag# KGK-X21. The truck has a sticker on the rear that says either “Alley Cat” or “Ally Cat.”

Police said Gordon was last known to be in the Daytona Area around 6 p.m. and was last seen wearing a multicolored black, brown, and gold striped shirt, khaki pants, and possibly white shoes.

Anyone who sees him can call 911 or the Lakeland Police Department at 863-834-6900.",https://www.wfla.com/news/polk-county/silver-alert-issued-for-missing-lakeland-man-with-dementia/1998212879,2019-05-12T23:38:14Z,WFLA,"200 S Parker St, Tampa, FL 33606, USA",FL,33606
12,Neighbors identify woman found dead with dead man in Nocatee home,"NOCATEE, Fla. - Neighbors identify the woman found dead in a Nocatee home Saturday as Lynn Bender. That name matches what public records show about who lived at this home. Bender worked as a realtor for Remax. She lives one street over and she was supposed to host an open house at this home yesterday morning from 11 to 2 and when she didn't show up, that's when people started making calls.

The St. Johns County Sheriff's Office responded Saturday afternoon to investigate the suspicious deaths of a man and woman at 203 Southern Oak Drive in Nocatee.

Neighbor said their neighbor called her boss who called her family member who then came to check on her and found her and a man dead inside.

The St Johns County Sheriff's office has not released the details involving how the two died or the relationship. But the Clerk of Courts website shows Bender had filed a petition for an injunction against a man named Simon Hanley in December 2018. The injunction was filed against stalking violence.

Neighbors say they saw an odd man in the past at her home.

""She had taken out a restraining order against someone and the particular person was the one that I know now was odd and we should've cautioned her against spending time with him but she had a big heart and she couldn't help but want to help others,"" said neighbor Jane Amorim.

Neighbors say it was a rough night for them and people are torn up about this.

People are posting on facebook that she was a really sweet person and sending prayers to her loved ones.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/florida/st-johns-county/neighbors-identify-woman-found-dead-in-nocatee-home,2019-05-12T21:56:15Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
13,"Man killed, woman wounded in shootout in Sunny Isles Beach","SUNNY ISLES BEACH, Fla. - A man was killed and a woman was wounded during a shootout Sunday outside the Trump International Beach Resort in Sunny Isles Beach, authorities said.

The shooting happened around 1:30 p.m. Sunday outside the resort in the 18000 block of Collins Avenue.

Paramedics transported the 19-year-old woman to Aventura Hospital and Medical Center. Her condition was not disclosed.

This is a breaking news story. It will be updated.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/florida/miami-dade/man-killed-woman-wounded-in-shootout-involving-rapper-youngboy-never-broke-again,2019-05-12T19:06:19Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
14,Rapper AAB Hellabandz killed outside South Beach nightclub,"MIAMI BEACH, Fla. - Chicago rapper AAB Hellabandz was shot and killed outside a South Beach nightclub early Saturday, authorities confirmed Sunday.

AAB Hellabandz, whose real name is Ameer Golston, and another man were shot around 2:45 a.m. Saturday outside the Cameo nightclub in the 200 block of Espanola Way. Golston, 24, was pronounced dead at the scene.

Earlier this year, Golston made headlines in the entertainment press after briefly dating reality star Blac Chyna.

Paramedics rushed the second victim to Jackson Memorial Hospital, where he is listed in stable condition. Police are not identifying the man for investigative reasons.

Detectives are now searching for the gunman and suspects are believed to have taken off in three separate vehicles.

Police said someone in one of the cars was seen carrying a gun as they sped away from officers.

While police pursued one of the vehicles, two Miami Beach patrol cars were involved in a crash near 91st Street and Harding Avenue. The officers suffered only minor injuries.

An officer heard the shots and rushed to the scene. A vehicle possibly linked to the double shooting was located nearby, while a second vehicle was driven away. During a pursuit, an officer witnessed someone inside that second vehicle display a gun, but the driver got away.

No arrests have been made. The Miami Beach Police Department is asking anyone with information about the shooting to contact Miami-Dade Crime Stoppers at 305-471-TIPS.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/florida/miami-beach/rapper-aab-hellabandz-killed-outside-south-beach-nightclub,2019-05-12T18:50:19Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
15,Florida Man Kills Wife Because She Was Speaking Disrespectfully,"<img width=""150"" height=""84"" src=""https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=150"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" srcset=""https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=150 150w, https://cbsmiami.files.wordpress.com/2019/05/18-vo-plantation-man-k_wfor0pgj.jpg?w=300 300w"" sizes=""(max-width: 150px) 100vw, 150px"" /> Police in Florida say a man told them he fatally shot his wife because she was talking to him disrespectfully.",https://miami.cbslocal.com/2019/05/12/florida-man-kills-wife-speaking-disrespectfully/,2019-05-12T16:11:33Z,CBS Miami,"8900 NW 18th Terrace, Doral, FL 33172, USA",FL,33172
